threshold_dbfs,file,sample_rate,channels,audio_duration_sec,event_index,event_start_sec,event_end_sec,event_duration_sec,active_start_sec,active_end_sec,rms_max_dbfs,rms_mean_dbfs,exported_file
-30.0,Allobates_cepedai/Allobates_cepedai__IAvH-CSA-15981__2014-05-13__cf0f2093d1.wav,44100,1,222.359,1,0.0,48.371,48.371,0.0,43.371,-15.62,-18.13,audios_cortados/threshold_m30p0_dbfs/Allobates_cepedai_Allobates_cepedai__IAvH-CSA-15981__2014-05-13__cf0f2093d1__evento_001.wav
-30.0,Allobates_cepedai/Allobates_cepedai__IAvH-CSA-15981__2014-05-13__cf0f2093d1.wav,44100,1,222.359,2,63.744,123.744,60.0,66.744,123.744,-16.12,-22.67,audios_cortados/threshold_m30p0_dbfs/Allobates_cepedai_Allobates_cepedai__IAvH-CSA-15981__2014-05-13__cf0f2093d1__evento_002.wav
-30.0,Allobates_cepedai/Allobates_cepedai__IAvH-CSA-15981__2014-05-13__cf0f2093d1.wav,44100,1,222.359,3,123.744,183.744,60.0,123.744,183.744,-16.12,-22.67,audios_cortados/threshold_m30p0_dbfs/Allobates_cepedai_Allobates_cepedai__IAvH-CSA-15981__2014-05-13__cf0f2093d1__evento_003.wav
-30.0,Allobates_cepedai/Allobates_cepedai__IAvH-CSA-15981__2014-05-13__cf0f2093d1.wav,44100,1,222.359,4,183.744,191.608,7.864,183.744,186.608,-16.12,-22.67,audios_cortados/threshold_m30p0_dbfs/Allobates_cepedai_Allobates_cepedai__IAvH-CSA-15981__2014-05-13__cf0f2093d1__evento_004.wav
-30.0,Allobates_cepedai/Allobates_cepedai__IAvH-CSA-15981__2014-05-13__cf0f2093d1.wav,44100,1,222.359,5,193.482,222.359,28.877,196.482,218.98,-17.39,-26.4,audios_cortados/threshold_m30p0_dbfs/Allobates_cepedai_Allobates_cepedai__IAvH-CSA-15981__2014-05-13__cf0f2093d1__evento_005.wav
-30.0,Allobates_niputidea/Allobates_niputidea__IAvH-CSA-18218__2018-07-13__8fea905c13.wav,48000,1,292.449,1,0.0,8.25,8.25,0.0,3.25,-22.91,-26.79,audios_cortados/threshold_m30p0_dbfs/Allobates_niputidea_Allobates_niputidea__IAvH-CSA-18218__2018-07-13__8fea905c13__evento_001.wav
-30.0,Allobates_niputidea/Allobates_niputidea__IAvH-CSA-18218__2018-07-13__8fea905c13.wav,48000,1,292.449,2,108.0,132.875,24.875,111.0,127.875,-23.07,-25.97,audios_cortados/threshold_m30p0_dbfs/Allobates_niputidea_Allobates_niputidea__IAvH-CSA-18218__2018-07-13__8fea905c13__evento_002.wav
-30.0,Allobates_niputidea/Allobates_niputidea__IAvH-CSA-18218__2018-07-13__8fea905c13.wav,48000,1,292.449,3,225.625,234.125,8.5,228.625,229.125,-25.65,-27.68,audios_cortados/threshold_m30p0_dbfs/Allobates_niputidea_Allobates_niputidea__IAvH-CSA-18218__2018-07-13__8fea905c13__evento_003.wav
-30.0,Allobates_niputidea/Allobates_niputidea__IAvH-CSA-18218__2018-07-13__8fea905c13.wav,48000,1,292.449,4,283.625,292.125,8.5,286.625,287.125,-25.96,-27.95,audios_cortados/threshold_m30p0_dbfs/Allobates_niputidea_Allobates_niputidea__IAvH-CSA-18218__2018-07-13__8fea905c13__evento_004.wav
-30.0,Allobates_niputidea/Allobates_niputidea__IAvH-CSA-18222__2018-07-13__df646a755f.wav,48000,1,100.388,1,0.0,6.75,6.75,0.0,1.75,-22.91,-26.52,audios_cortados/threshold_m30p0_dbfs/Allobates_niputidea_Allobates_niputidea__IAvH-CSA-18222__2018-07-13__df646a755f__evento_001.wav
-30.0,Allobates_niputidea/Allobates_niputidea__IAvH-CSA-18222__2018-07-13__df646a755f.wav,48000,1,100.388,2,7.75,32.75,25.0,10.75,27.75,-18.45,-21.2,audios_cortados/threshold_m30p0_dbfs/Allobates_niputidea_Allobates_niputidea__IAvH-CSA-18222__2018-07-13__df646a755f__evento_002.wav
-30.0,Allobates_niputidea/Allobates_niputidea__IAvH-CSA-18222__2018-07-13__df646a755f.wav,48000,1,100.388,3,76.25,94.375,18.125,79.25,89.375,-17.66,-22.0,audios_cortados/threshold_m30p0_dbfs/Allobates_niputidea_Allobates_niputidea__IAvH-CSA-18222__2018-07-13__df646a755f__evento_003.wav
-30.0,Amphibia/Amphibia__IAvH-CSA-14879____b36b160462.wav,44100,2,141.464,1,0.0,7.625,7.625,0.0,2.625,-23.44,-27.63,
-30.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-03597__2017-08-06__8d863f05ee.wav,44100,1,66.337,1,19.498,28.123,8.625,22.498,23.123,-25.5,-26.98,
-30.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-03597__2017-08-06__8d863f05ee.wav,44100,1,66.337,2,59.494,66.337,6.843,62.494,66.244,-19.85,-25.07,
