threshold_dbfs,file,sample_rate,channels,audio_duration_sec,event_index,event_start_sec,event_end_sec,event_duration_sec,active_start_sec,active_end_sec,rms_max_dbfs,rms_mean_dbfs
-35.0,Allobates_cepedai/Allobates_cepedai__IAvH-CSA-15981__2014-05-13__cf0f2093d1.wav,44100,1,222.359,1,0.0,48.371,48.371,0.0,43.371,-15.62,-18.13
-35.0,Allobates_cepedai/Allobates_cepedai__IAvH-CSA-15981__2014-05-13__cf0f2093d1.wav,44100,1,222.359,2,63.744,123.744,60.0,66.744,123.744,-16.12,-28.24
-35.0,Allobates_cepedai/Allobates_cepedai__IAvH-CSA-15981__2014-05-13__cf0f2093d1.wav,44100,1,222.359,3,123.744,183.744,60.0,123.744,183.744,-16.12,-28.24
-35.0,Allobates_cepedai/Allobates_cepedai__IAvH-CSA-15981__2014-05-13__cf0f2093d1.wav,44100,1,222.359,4,183.744,222.359,38.615,183.744,219.23,-16.12,-28.24
-35.0,Allobates_niputidea/Allobates_niputidea__IAvH-CSA-18218__2018-07-13__8fea905c13.wav,48000,1,292.449,1,0.0,24.75,24.75,0.0,19.75,-22.91,-28.98
-35.0,Allobates_niputidea/Allobates_niputidea__IAvH-CSA-18218__2018-07-13__8fea905c13.wav,48000,1,292.449,2,103.5,134.25,30.75,106.5,129.25,-23.07,-26.55
-35.0,Allobates_niputidea/Allobates_niputidea__IAvH-CSA-18218__2018-07-13__8fea905c13.wav,48000,1,292.449,3,158.625,170.25,11.625,161.625,165.25,-24.98,-28.08
-35.0,Allobates_niputidea/Allobates_niputidea__IAvH-CSA-18218__2018-07-13__8fea905c13.wav,48000,1,292.449,4,179.25,187.875,8.625,182.25,182.875,-31.78,-32.76
-35.0,Allobates_niputidea/Allobates_niputidea__IAvH-CSA-18218__2018-07-13__8fea905c13.wav,48000,1,292.449,5,218.375,235.625,17.25,221.375,230.625,-24.85,-28.17
-35.0,Allobates_niputidea/Allobates_niputidea__IAvH-CSA-18218__2018-07-13__8fea905c13.wav,48000,1,292.449,6,236.375,244.875,8.5,239.375,239.875,-28.86,-30.8
-35.0,Allobates_niputidea/Allobates_niputidea__IAvH-CSA-18218__2018-07-13__8fea905c13.wav,48000,1,292.449,7,271.5,292.125,20.625,274.5,287.125,-25.96,-29.08
-35.0,Allobates_niputidea/Allobates_niputidea__IAvH-CSA-18222__2018-07-13__df646a755f.wav,48000,1,100.388,1,0.0,32.75,32.75,0.0,27.75,-18.3,-21.31
